Area,Effect,Original,/ Replication Study Authors,Effect Size (± 95% CI),Protocol URL,OSF URL (Data/Materials),Subjectively Replicates?,Active Sample Evidence / Positive Controls
,There was a significant interaction between viewpoint (prototypical or non-prototypical) and visual field (upper visual field or lower visual field) on the probability of the first fixation being on the target.,,,,,,,
,,Forti & Humphreys (2008) Study 1,,η2 = .522,,,,
,,,Dorrough & Fiedler (2015),η2 = .0065,https://osf.io/nhqgs/,https://osf.io/tf8ky/,no,
,Surfaces with a single EE (EE1) along the shared contour were perceived as closer than surfaces with two EE's orthogonal to the shared contour (Convex2),,,,,,,
,,Palmer & Ghose (2008) Study 2,,d = 1.573,,,,
,,,"Saxe, Velez, & Johnston (2015)",d = .11,https://osf.io/27cmh/,https://osf.io/0aifq/,no,
,"Faster identification RTs for fear-relevant compared to fear-irrelevant stimuli, in both children and adults.",,,,,,,
,,Lobue & DeLoache (2008) Study 3,,η2 = . 23,,,,
,,,"Cramblet, Alvarez et al. (2015)",η2 = .032,https://osf.io/5ygej/,https://osf.io/sd7kg/,no,
,Attentional effect of object words interfered with the visual perception of a target in the typical location of the object.,,,,,,,
,,"Estes, Verges, & Barsalou (2008) Study 1",,η2 = .70,,,,
,,,Renkewitz & Muller (2015),η2 = .065,https://osf.io/b7zek/,https://osf.io/vwnit/,no,
