replication_type,replication_number,target_effect,original_authors_study_number,original_effect_size,replication_effect_size,replication_authors_study_number,replication_outcome,replication_outcome_bayesian,discipline,replication_method_differences,positive_control_evidence,IVs,DVs,other_outcomes,replication_open_materials_URL,replication_open_data_URL,replication_pre_reg_URL,original_study_article_URL,replication_study_article_URL,original_open_materials_URL,original_open_data_URL,original_pre_reg_URL,effect_description,design,effect_type,original_test_statistic,original_pvalue,original_N,replication_N,study_order_CS,RPP_study_number,Original_Article_Title
Reproducibility Project,70,Higher number of errors on low contingency trials compared to medium contingency trials.,Schmidt & Besner (2008) Study 2,d(N=95) = +.198,d(N=242) = +.255,Cloud (2015),successful,,Cognitive,,,,,,https://osf.io/bscfe/,https://osf.io/bscfe/,https://osf.io/bskwq/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(94) = 1.929,0.028,95,242,70,15,The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.
Reproducibility Project,71,Tendency to underestimate (overestimate) frequency of positive (negative) observations increased from provider with smallest to provider with highest overall frequency due to differential regression effects.,Fiedler (2008) Study 2,η²(N=39) = .186,η²(N=47) = .28,Glockner & Jekel (2015),successful,,Cognitive,,,,,,https://osf.io/hp27x/,https://osf.io/hp27x/,https://osf.io/vtz2i/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(2, 76) = 8.67",<.001,39,47,71,17,The ultimate sampling dilemma in experience-based decision making.
Reproducibility Project,72,Higher new probe accuracy for short compared to long lists.,Oberauer (2008) Study 3,η²(N=32) = .31,η²(N=21) = .162,"Bosch, Neijenhuijs et al. (2015)",unsuccessful,,Cognitive,,,,,,https://osf.io/gcj7x/,https://osf.io/gcj7x/,https://osf.io/n32zj/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1, 31) = 14.2",<.001,32,21,72,19,How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.
Reproducibility Project,73,Directed forgetting effect observed for spaced but not grouped (massed) items.,"Sahakyan, Delaney et al. (2008) Study 3",η²(N=96) = .05,η²(N=108) = .0004,Fiedler & May (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/bzdr2/,https://osf.io/bzdr2/,https://osf.io/kcwfa/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,interaction,"F(1,94) = 4.97",<.05,96,108,73,20,"Intentional forgetting is easier after two ""shots"" than one."
Reproducibility Project,74,"Bilingual Ps less successful than monolinguals at reporting T2 target when it lagged a successfully identified T1 target by 2 items (i.e., at lag 3).","Colzato, Bajo et al. (2008) Study 3",MSE(N=18) = .009,η²(N=32) = .01,Kappes (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/p9thw/,https://osf.io/p9thw/,https://osf.io/a5ukz/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(3, 93) = 5.23",0.002,18,32,74,22,How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.
Reproducibility Project,75,RT difference between sum and neutral targets larger when cue digits primed with categorical (compared to unrelated or functionally related) primes.,"Bassok, Pedigo et al. (2008) Study 1","F(1,152)(N=154) = 23.2","F(1,48)(N=49) = 4.2 [MSE=9999]","Hung, Lin, & Tsang (2015)",successful,,Cognitive,,,,,,https://osf.io/sqim7/,https://osf.io/sqim7/,https://osf.io/irgbs/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1, 152) = 23.176",<.001,154,49,75,24,Priming addition facts with semantic relations.
Reproducibility Project,76,"Likelihood of producing a given response increased as a function of the number of times same response had previously been recalled, even for errors.","Couture, Lafond, & Tremblay (2008) Study 1",d(N=24) = +1.51,η²(N=63) = .224,Roebke & Penna (2015),successful,,Cognitive,,,,,,https://osf.io/k9gp6/,https://osf.io/k9gp6/,https://osf.io/qm5n6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,main effect,"F(3, 48) = 9.14",<.001,24,63,76,25,Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.
Reproducibility Project,77,No delay in response when switching between pronouncing regular words and nonwords.,Reynolds & Besner (2008) Study 5,η²(N=16) = .026,η²(N=20) = .021,Lai & Simpson (2015),successful,,Cognitive,,,,,,https://osf.io/hasfu/,https://osf.io/hasfu/,https://osf.io/fkcn5/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,interaction,"F(1, 94) = 2.5",>0.1,16,20,77,26,Contextual effects on reading aloud: Evidence for pathway control.
Reproducibility Project,78,Larger frequency effect for degraded compared to non-degraded words (interaction between stimulus quality and word frequency).,"Yap, Balota et al. (2008) Study 4",η²(N=32) = .143,η²(N=71) = .144,Chartier (2015),successful,,Cognitive,,,,,,https://osf.io/ahpik/,https://osf.io/ahpik/,https://osf.io/dh4jx/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1, 31) = 5.17",0.03,32,71,78,27,On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.
Reproducibility Project,79,RTs slower for semantically-related compared to semantically unrelated word-picture pairs in a delayed picture naming task.,"Janssen, Schirm et al. (2008a) Study 1",d(N=32) = +.74,η²(N=91) = .011,Galak (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/uhpyr/,https://osf.io/uhpyr/,https://osf.io/5p7i6/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1,31) = 4.1",<.06,32,91,79,28,Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.
Reproducibility Project,80,Above-chance recall rate on real-triplet test trials compared to familiarization phase (can visual statistical learning be feature-based over colors of objects?).,"Turk-Brown, Isola et al. (2008) Study 4b",d(N=8) = +1.02,d(N=15) = +.957,Ostkamp & Jakel (2015),successful,,Cognitive,,,,,,https://osf.io/ujhlw/,https://osf.io/ujhlw/,https://osf.io/ktnmc/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(7) = 2.892,0.023,8,15,80,29,Multidimensional visual statistical learning.
Reproducibility Project,81,A+ instances raised judgment of A and lowered judgment of B as causes for outcome.,White (2008) Study 3,η²(N=37) = .427,η²(N=38) = .15,Muller & Renkewitz (2015),successful,,Cognitive,,,,,,https://osf.io/rhbqj/,https://osf.io/rhbqj/,https://osf.io/x7c9i/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1, 36) = 22.88",<.001,37,38,81,32,Accounting for occurrences: A new view of the use of contingency information in causal judgment.
Reproducibility Project,82,"Ps instructed to group items induced temporal gap between groups, both when trying to recall order of items and when trying to recall timing of items.",Farrell (2008) Study 2,d(N=40) = +.60,d(N=40) = +.37,Olsson & Saxe (2015),successful,,Cognitive,,,,,,https://osf.io/swrhy/,https://osf.io/swrhy/,https://osf.io/tqf2u/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,paired sample t-test,main effect,t(39) = 3.77,0.001,40,40,82,33,Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.
Reproducibility Project,83,Number of correct responses differed only as a function of the type of dependency.,Pacton & Perruchet (2008) Study 4b,η²(N=24) = .51,η²(N=24) = .46,Jahn (2015),successful,,Cognitive,,,,,,https://osf.io/vmz2e/,https://osf.io/vmz2e/,https://osf.io/asn7w/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,main effect,"F(1, 20) = 20.79",<.01,24,24,83,36,An attention-based associative account of adjacent and nonadjacent dependency learning.
Reproducibility Project,84,"For both shape and color conditions, better recall for retro(active) compared to simultaneous cue at all set sizes (except set size = 1).","Makovski, Sussman et al. (2008) Study 3",η²(N=12) = .304,η²(N=18) = .122,Moore (2015),successful,,Cognitive,,,,,,https://osf.io/0pxro/,https://osf.io/0pxro/,https://osf.io/xtcuv/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1,11) = 4.8",<.05,12,18,84,37,Orienting attention in visual working memory reduces interference from memory probes.
Reproducibility Project,85,Comparison of correlations between ART and drug use in sunny versus cloudy conditions; a successful replication would find that the learning process hinders the diagnosticity of the ART in identifying individuals at increased risk of using hazardous drugs.,Pleskac (2008) Study 1,z(N=68) = 3.10,z(N=153) = 1.25,"Forsell, Dreber et al. (2015)",unsuccessful,,Cognitive,,,,,,https://osf.io/38ges/,https://osf.io/38ges/,https://osf.io/gyn9e/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Test of contrast of 4 correlated correlations.,main effect,z = 3.10,<.05,68,153,85,39,Decision making and learning while taking sequential risks.
Reproducibility Project,86,"Directional language (e.g., ""to the left"") helps children bind color and shape information to a greater extent than relational language alone (e.g., ""next to"").",Dessalegn & Landau (2008) Study 4,d(N=36) = +.82,d(N=47) = +.48,Fitneva (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/iajp5/,https://osf.io/iajp5/,https://osf.io/83n4z/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(1, 34) = 5.8",<.05,36,47,86,106,More than meets the eye: the role of language in binding and maintaining feature conjunctions.
Reproducibility Project,87,"More precise (e.g., $9.99) compared to less price (e.g., $10) anchors decreased (anchoring effect) adjustment.",Janiszewski & Uy (2008) Study 4,ηp²(N=59) = .02,ηp²(N=120) = .05,Chandler (2015),successful,,Cognitive,,,,,,https://osf.io/aaudl/,https://osf.io/aaudl/,https://osf.io/ehjdm/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(1, 55) = 6.88",prep = .947,59,120,87,111,Precision of the anchor influences the amount of adjustment.
Reproducibility Project,88,Sample entropy was higher for middle-truth-value questions than for low- and high-truth-value questions.,"McKinstry, Dale, & Spivey (2008) Study 1",r(N=141) = -.70,r(N=51) = -.75,"Saxe, Velez, & Feather (2015)",successful,,Cognitive,,,,,,https://osf.io/d0n81/,https://osf.io/d0n81/,https://osf.io/pu9nb/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(1, 9) = 8.7",<.05,141,51,88,112,Action dynamics reveal parallel competition in decision making
Reproducibility Project,89,"Older children selected correct object more frequently than would be expected by chance on ""where"" trials.",Nurmsoo & Bloom (2008) Study 1,d(N=32) = +.571,d(N=8) = +.286,"Brown, Kleinberg et al. (2015)",unsuccessful,,Cognitive,,,,,,https://osf.io/aczvt/,https://osf.io/aczvt/,https://osf.io/ictp5/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(31) = 3.23,prep = .97,32,8,89,115,Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?
Reproducibility Project,90,Averaging two guesses within one person provides a more accurate answer than either guess alone.,Vul & Pashler (2008) Study 1,d(N=173) = +.47,d(N=140) = +.34,"Steegen, Vanpaemel et al. (2015)",successful,,Cognitive,,,,,,https://osf.io/ivfu6/,https://osf.io/ivfu6/,https://osf.io/7kimb/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(172) = 3.94,<.01,173,140,90,116,Measuring the crowd within: Probabilistic representations within individuals.
Reproducibility Project,91,"Selection is (a) suppressed (efficacy), (b) delayed (latency), and (c) diffused (precision) in time during the attentional blink as demonstrated significant main effects of each of these factors and by a significant three way interaction between SOA, measure (efficacy, latency, precision).","Vul, Nieuwenstein et al. (2008) Study 1",η²(N=12) = .308,η²(N=12) = .261,Barnett-Cowan (2015),successful,,Cognitive,,,,,,https://osf.io/rzjvn/,https://osf.io/rzjvn/,https://osf.io/jupew/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,interaction,"F(18, 660) = 16.31",<.00001,12,12,91,117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink."
Reproducibility Project,92,Fewer localization errors for targets compared to distractors in the centroid condition.,Alvarez & Oliva (2008) Study 3,dz(N=8) = -.976,dz(N=17) = -2.33,Schlegelmilch et al. (2015),successful,,Cognitive,,,,,,https://osf.io/dnaxe/,https://osf.io/dnaxe/,https://osf.io/dm2kj/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,dependent samples t-test,main effect,t(7) = 2.76,0.028,8,17,92,122,The representation of simple ensemble visual features outside the focus of attention
Reproducibility Project,93,Motion aftereffects were present following the presentation of a still photograph depicting motion,"Winawer, Huk, & Boroditsky (2008) Study 3",d(N=29) = -.94,d(N=26) = -.62,"Levitan, Errington & Gampa (2015)",successful,,Cognitive,,,,,,https://osf.io/mjasz/,https://osf.io/mjasz/,https://osf.io/ertbg/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,paired sample t-test,main effect,t(28) = -4.978,3E-05,29,26,93,127,A motion aftereffect from still photographs depicting motion
Reproducibility Project,94,Higher recall for words rated for survival relevance compared to control words.,"Nairne, Pandeirada et al. (2008) Study 2",η²(N=24) = .20,η²(N=38) = .18,Muller & Renkewitz (2015),successful,,Cognitive,,,,,,https://osf.io/jhkpe/,https://osf.io/jhkpe/,https://osf.io/v4d2b/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1, 23) = 5.7","""significant""",24,38,94,133,Adaptive memory: The comparative value of survival processing.
Reproducibility Project,95,Auditory memory makes change detection easier in audition than in vision.,"Demany, Trost et al. (2008) Study 5",η²(N=4) = .74,η²(N=5) = .76,Snyder & Irsik (2015),successful,,Cognitive,,,,,,https://osf.io/ta3j8/,https://osf.io/ta3j8/,https://osf.io/wx74s/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(3, 9) = 8.5",0.005,4,5,95,139,Auditory change detection: simple sounds are not memorized better than complex sounds
Reproducibility Project,96,"Color and object naming times in the congruent condition were faster than in the incongruent condition in the color and object naming tasks, respectively, but these differences did not reach significance.","Janssen, Alario et al. (2008b) Study 2",dz(N=15) = +1.71,dz(N=12) = +.548,Melinger (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/dncxa/,https://osf.io/dncxa/,https://osf.io/e3ry5/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,t-test,main effect,t(14) = 3.2,<.007,15,12,96,146,A word-order constraint on phonological activation
Reproducibility Project,97,There was a significant interaction between viewpoint (prototypical or non-prototypical) and visual field (upper visual field or lower visual field) on the probability of the first fixation being on the target.,Forti & Humphreys (2008) Study 1,η²(N=14) = .522,η²(N=19) = .0065,Dorrough & Fiedler (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/tf8ky/,https://osf.io/tf8ky/,https://osf.io/nhqgs/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1, 13) = 14.2",prep = .99,14,19,97,150,Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field
Reproducibility Project,98,Surfaces with a single EE (EE1) along the shared contour were perceived as closer than surfaces with two EE's orthogonal to the shared contour (Convex2),Palmer & Ghose (2008) Study 2,d(N=8) = +1.573,d(N=8) = +.11,"Saxe, Velez, & Johnston (2015)",unsuccessful,,Cognitive,,,,,,https://osf.io/0aifq/,https://osf.io/0aifq/,https://osf.io/27cmh/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,single sample t-test,trend,t(7) = 4.45,<.001,8,8,98,153,Extremal edge: a powerful cue to depth perception and figure-ground organization
Reproducibility Project,99,"Faster identification RTs for fear-relevant compared to fear-irrelevant stimuli, in both children and adults.",Lobue & DeLoache (2008) Study 3,η²(N=48) = . 23,η²(N=48) = .032,"Cramblet, Alvarez et al. (2015)",unsuccessful,,Cognitive,,,,,,https://osf.io/sd7kg/,https://osf.io/sd7kg/,https://osf.io/5ygej/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA,main effect,"F(1, 44) = 13.42",<.01,48,48,99,161,Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.
Reproducibility Project,100,Attentional effect of object words interfered with the visual perception of a target in the typical location of the object.,"Estes, Verges, & Barsalou (2008) Study 1",η²(N=18) = .70,η²(N=22) = .065,Renkewitz & Muller (2015),unsuccessful,,Cognitive,,,,,,https://osf.io/vwnit/,https://osf.io/vwnit/,https://osf.io/b7zek/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,main effect,"F(1, 17) = 9.33",prep = .97,18,22,100,167,"Head up, foot down: Object words orient attention to the objects' typical location."
Many Labs 1,1,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=87) = -.26 ± .42,"Hunt & Krueger (2014,TAMUC)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,87,,,
Many Labs 1,2,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=102) = -.24 ± .39,"Cheong (2014,Help)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,102,,,
Many Labs 1,3,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=162) = -.21 ± .40,"Devos (2014,SDSU)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,162,,,
Many Labs 1,4,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=96) = -.20 ± .40,"Swol (2014,Wisc)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,96,,,
Many Labs 1,5,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=87) = -.19 ± .42,"John & Skorinko (2014,WPI)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,87,,,
Many Labs 1,6,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=277) = -.16 ± .39,"Kappes (2014,LSE)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,277,,,
Many Labs 1,7,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=187) = -.16 ± .24,"Davis & Hicks (2014,TAMU) Study 1",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,187,,,
Many Labs 1,8,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=127) = -.15 ± .35,"Klein et al. (2014,UFL)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,127,,,
Many Labs 1,9,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=84) = -.14 ± .43,"Vranka (2014,Charles)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,84,,,
Many Labs 1,10,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=112) = -.14 ± .37,"Packard (2014,Laurier)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,112,,,
Many Labs 1,11,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=113) = -.13 ± .36,"Cemalcilar (2014,KU)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,113,,,
Many Labs 1,12,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=169) = -.12 ± .30,"Bocian & Frankowska (2014,SWPSON) Study 2",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,169,,,
Many Labs 1,13,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=146) = -.07 ± .33,"Huntsinger & Mallett (2014,Luc)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,146,,,
Many Labs 1,14,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=1000) = -.06 ± .12,"Schmidt & Nosek (2014, MTURK)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,1000,,,
Many Labs 1,15,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=108) = -.05 ± .40,"Hovermale & Joy-Gaba (2014,VCU)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,108,,,
Many Labs 1,16,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=144) = -.04 ± .34,"Vianello & Galliani (2014,UNIPD)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,144,,,
Many Labs 1,17,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=1329) = -.03 ± .11,"Schmidt & Nosek (2014,PI)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,1329,,,
Many Labs 1,18,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=84) = .00 ± .43,"Bernstein (2014,abington)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,84,,,
Many Labs 1,19,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=90) = +.01 ± .40,"Vaughn (2014,Ithaca)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,90,,,
Many Labs 1,20,money priming,Caruso et al. (2013) Study 1,d(N=30) = +.77 ± .74,d(N=96) = +.01 ± .40,"Rutchick (2014,CSUN)",,,Social,,,,,,,,,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,,,,,,,,,30,96,,,
