rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
272,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=162) = +0.45,"Devos (2014,SDSU)",,reciprocity norm effect,Many Labs 1,,,,,,,social,22,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,162,,,,
273,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=79) = +0.32,"Bocian & Frankowska (2014,SWPS) Study 1",,reciprocity norm effect,Many Labs 1,,,,,,,social,23,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,79,,,,
274,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=169) = +0.27,"Bocian & Frankowska (2014,SWPSON) Study 2",,reciprocity norm effect,Many Labs 1,,,,,,,social,24,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,169,,,,
275,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=187) = +0.58,"Davis & Hicks (2014,TAMU) Study 1",,reciprocity norm effect,Many Labs 1,,,,,,,social,25,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,187,,,,
276,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=87) = +0.11,"Hunt & Krueger (2014,TAMUC)",,reciprocity norm effect,Many Labs 1,,,,,,,social,26,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,87,,,,
277,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=225) = +0.3,"Davis & Hicks (2014,TAMUON) Study 2",,reciprocity norm effect,Many Labs 1,,,,,,,social,27,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,225,,,,
278,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=80) = +0.4,"Brandt et al. (2014,Tilburg)",,reciprocity norm effect,Many Labs 1,,,,,,,social,28,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,80,,,,
279,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=127) = +0.25,"Klein et al. (2014,UFL)",,reciprocity norm effect,Many Labs 1,,,,,,,social,29,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,127,,,,
280,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=144) = +0.01,"Vianello & Galliani (2014,UNIPD)",,reciprocity norm effect,Many Labs 1,,,,,,,social,30,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,144,,,,
281,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=81) = +0.27,"Schmidt & Nosek (2014,UVA)",,reciprocity norm effect,Many Labs 1,,,,,,,social,31,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,81,,,,
282,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=108) = +0.56,"Hovermale & Joy-Gaba (2014,VCU)",,reciprocity norm effect,Many Labs 1,,,,,,,social,32,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,108,,,,
283,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=96) = +0.07,"Swol (2014,Wisc)",,reciprocity norm effect,Many Labs 1,,,,,,,social,33,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,96,,,,
284,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=103) = +0.5,"Wichman (2014,WKU)",,reciprocity norm effect,Many Labs 1,,,,,,,social,34,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,103,,,,
285,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=90) = +0.04,"Woodzicka (2014,WL)",,reciprocity norm effect,Many Labs 1,,,,,,,social,35,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,90,,,,
286,Hyman & Sheatsley (1950) ,d(N=) = +.16,d(N=87) = +0.13,"John & Skorinko (2014,WPI)",,reciprocity norm effect,Many Labs 1,,,,,,,social,36,,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,87,,,,
287,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=84) = +0.22,"Bernstein (2014,abington)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,1,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,84,,,,
288,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=120) = +0.19,"Pilati (2014,brasilia)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,2,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,120,,,,
289,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=84) = +0.29,"Vranka (2014,Charles)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,3,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,84,,,,
290,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=95) = +0.14,"Nier (2014,Conncoll)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,4,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,95,,,,
291,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=96) = +0.74,"Rutchick (2014,CSUN)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,5,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,96,,,,
292,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=102) = +0.19,"Cheong (2014,Help)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,6,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,102,,,,
293,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=90) = +0.53,"Vaughn (2014,Ithaca)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,7,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,90,,,,
294,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=174) = +0.65,"Kurtz (2014,JMU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,8,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,174,,,,
295,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=113) = -0.09,"Cemalcilar (2014,KU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,9,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,113,,,,
296,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=112) = +0.29,"Packard (2014,Laurier)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,10,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,112,,,,
297,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=277) = +0.37,"Kappes (2014,LSE)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,11,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,277,,,,
298,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=146) = +0.4,"Huntsinger & Mallett (2014,Luc)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,12,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,146,,,,
299,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=98) = +0.09,"Morris (2014,McDaniel)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,13,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,98,,,,
300,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=85) = -0.03,"Furrow & Thompson (2014,MSVU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,14,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,85,,,,
301,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=1000) = +0.43,"Schmidt & Nosek (2014, MTURK)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,15,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,1000,,,,
302,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=107) = +0.27,"Smith (2014,OSU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,16,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,107,,,,
303,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=123) = +0.17,"Levitan (2014,Oxy)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,17,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,123,,,,
304,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=1329) = +0.26,"Schmidt & Nosek (2014,PI)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,18,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,1329,,,,
305,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=95) = +0.42,"Adams & Nelson (2014,PSU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,19,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,95,,,,
306,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=103) = +0.86,"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,20,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,103,,,,
307,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=86) = +0.4,"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,21,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,86,,,,
308,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=162) = +0.4,"Devos (2014,SDSU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,22,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,162,,,,
309,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=79) = -0.01,"Bocian & Frankowska (2014,SWPS) Study 1",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,23,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,79,,,,
310,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=169) = +0.31,"Bocian & Frankowska (2014,SWPSON) Study 2",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,24,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,169,,,,
311,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=187) = +0.34,"Davis & Hicks (2014,TAMU) Study 1",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,25,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,187,,,,
312,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=87) = +0.5,"Hunt & Krueger (2014,TAMUC)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,26,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,87,,,,
313,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=225) = +0.38,"Davis & Hicks (2014,TAMUON) Study 2",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,27,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,225,,,,
314,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=80) = +0.54,"Brandt et al. (2014,Tilburg)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,28,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,80,,,,
315,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=127) = +0.49,"Klein et al. (2014,UFL)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,29,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,127,,,,
316,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=144) = -0.26,"Vianello & Galliani (2014,UNIPD)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,30,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,144,,,,
317,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=81) = +0.16,"Schmidt & Nosek (2014,UVA)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,31,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,81,,,,
318,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=108) = +0.31,"Hovermale & Joy-Gaba (2014,VCU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,32,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,108,,,,
319,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=96) = +0.22,"Swol (2014,Wisc)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,33,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,96,,,,
320,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=103) = +0.62,"Wichman (2014,WKU)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,34,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,103,,,,
321,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=90) = -0.35,"Woodzicka (2014,WL)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,35,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,90,,,,
322,Lorge & Curtiss (1936 ),d(N=?) = NR,d(N=87) = +0.23,"John & Skorinko (2014,WPI)",,quote attribution (on attitudes) effect,Many Labs 1,,,,,,,social,36,https://sci-hub.cc/http://www.tandfonline.com/doi/abs/10.1080/00224545.1936.9919891?journalCode=vsoc20,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,,87,,,,
323,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=84) = +0.29,"Bernstein (2014,abington)",,scale options anchoring effect,Many Labs 1,,,,,,,social,1,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,84,,,,
324,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=120) = +0.96,"Pilati (2014,brasilia)",,scale options anchoring effect,Many Labs 1,,,,,,,social,2,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,120,,,,
325,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=84) = +0.54,"Vranka (2014,Charles)",,scale options anchoring effect,Many Labs 1,,,,,,,social,3,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,84,,,,
326,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=95) = +0.44,"Nier (2014,Conncoll)",,scale options anchoring effect,Many Labs 1,,,,,,,social,4,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,95,,,,
327,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=96) = +0.54,"Rutchick (2014,CSUN)",,scale options anchoring effect,Many Labs 1,,,,,,,social,5,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,96,,,,
328,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=102) = +0.45,"Cheong (2014,Help)",,scale options anchoring effect,Many Labs 1,,,,,,,social,6,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,102,,,,
329,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=90) = +0.39,"Vaughn (2014,Ithaca)",,scale options anchoring effect,Many Labs 1,,,,,,,social,7,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,90,,,,
330,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=174) = +0.44,"Kurtz (2014,JMU)",,scale options anchoring effect,Many Labs 1,,,,,,,social,8,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,174,,,,
331,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=113) = -0.16,"Cemalcilar (2014,KU)",,scale options anchoring effect,Many Labs 1,,,,,,,social,9,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,113,,,,
332,Schwarz et al. (1985) Study 1,d(N=132) = +.497,d(N=112) = +0.6,"Packard (2014,Laurier)",,scale options anchoring effect,Many Labs 1,,,,,,,social,10,https://pdfs.semanticscholar.org/282f/cedfb267c6761902044c8ece9bd744c7b6bd.pdf,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/pqf9r/,https://osf.io/xvpu3/,https://osf.io/2gztr/,,,,,,,,,132,112,,,,
