target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
money priming (instruction background),Caruso et al. (2013) Study 1,"Vranka (2014,Charles)",30,d,.77,.74,84,d,-.14,.43,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #9,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,9,yes,yes,109
money priming (instruction background),Caruso et al. (2013) Study 1,"Packard (2014,Laurier)",30,d,.77,.74,112,d,-.14,.37,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #10,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,10,yes,yes,110
money priming (instruction background),Caruso et al. (2013) Study 1,"Cemalcilar (2014,KU)",30,d,.77,.74,113,d,-.13,.36,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #11,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,11,yes,yes,111
money priming (instruction background),Caruso et al. (2013) Study 1,"Bocian & Frankowska (2014,SWPSON) Study 2",30,d,.77,.74,169,d,-.12,.30,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #12,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,12,yes,yes,112
money priming (instruction background),Caruso et al. (2013) Study 1,"Huntsinger & Mallett (2014,Luc)",30,d,.77,.74,146,d,-.07,.33,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #13,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,13,yes,yes,113
money priming (instruction background),Caruso et al. (2013) Study 1,"Schmidt & Nosek (2014, MTURK)",30,d,.77,.74,1000,d,-.06,.12,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #14,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,14,yes,yes,114
money priming (instruction background),Caruso et al. (2013) Study 1,"Hovermale & Joy-Gaba (2014,VCU)",30,d,.77,.74,108,d,-.05,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #15,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,15,yes,yes,115
money priming (instruction background),Caruso et al. (2013) Study 1,"Vianello & Galliani (2014,UNIPD)",30,d,.77,.74,144,d,-.04,.34,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #16,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,16,yes,yes,116
money priming (instruction background),Caruso et al. (2013) Study 1,"Schmidt & Nosek (2014,PI)",30,d,.77,.74,1329,d,-.03,.11,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #17,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,17,yes,yes,117
money priming (instruction background),Caruso et al. (2013) Study 1,"Bernstein (2014,abington)",30,d,.77,.74,84,d,.00,.43,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #18,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,18,yes,yes,118
money priming (instruction background),Caruso et al. (2013) Study 1,"Vaughn (2014,Ithaca)",30,d,.77,.74,90,d,.01,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #19,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,19,yes,yes,119
money priming (instruction background),Caruso et al. (2013) Study 1,"Rutchick (2014,CSUN)",30,d,.77,.74,96,d,.01,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #20,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,20,yes,yes,120
money priming (instruction background),Caruso et al. (2013) Study 1,"Adams & Nelson (2014,PSU)",30,d,.77,.74,95,d,.01,.42,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #21,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,21,yes,yes,121
money priming (instruction background),Caruso et al. (2013) Study 1,"Brumbaugh & Storbeck (2014,QCCUNY) Study 1",30,d,.77,.74,103,d,.03,.36,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #22,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,22,yes,yes,122
money priming (instruction background),Caruso et al. (2013) Study 1,"Levitan (2014,Oxy)",30,d,.77,.74,123,d,.03,.39,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #23,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,23,yes,yes,123
money priming (instruction background),Caruso et al. (2013) Study 1,"Smith (2014,OSU)",30,d,.77,.74,107,d,.10,.38,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #24,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,24,yes,yes,124
money priming (instruction background),Caruso et al. (2013) Study 1,"Kurtz (2014,JMU)",30,d,.77,.74,174,d,.11,.30,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #25,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,25,yes,yes,125
money priming (instruction background),Caruso et al. (2013) Study 1,"Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",30,d,.77,.74,86,d,.13,.43,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #26,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,26,yes,yes,126
money priming (instruction background),Caruso et al. (2013) Study 1,"Wichman (2014,WKU)",30,d,.77,.74,103,d,.18,.26,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #27,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,27,yes,yes,127
money priming (instruction background),Caruso et al. (2013) Study 1,"Davis & Hicks (2014,TAMUON) Study 2",30,d,.77,.74,225,d,.18,.36,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #28,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,28,yes,yes,128
money priming (instruction background),Caruso et al. (2013) Study 1,"Pilati (2014,brasilia)",30,d,.77,.74,120,d,.18,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #29,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,29,yes,yes,129
money priming (instruction background),Caruso et al. (2013) Study 1,"Furrow & Thompson (2014,MSVU)",30,d,.77,.74,85,d,.19,.43,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #30,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,30,yes,yes,130
money priming (instruction background),Caruso et al. (2013) Study 1,"Brandt et al. (2014,Tilburg)",30,d,.77,.74,80,d,.21,.44,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #31,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,31,yes,yes,131
money priming (instruction background),Caruso et al. (2013) Study 1,"Bocian & Frankowska (2014,SWPS) Study 1",30,d,.77,.74,79,d,.21,.45,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #32,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,32,yes,yes,132
money priming (instruction background),Caruso et al. (2013) Study 1,"Nier (2014,Conncoll)",30,d,.77,.74,95,d,.23,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #33,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,33,yes,yes,133
money priming (instruction background),Caruso et al. (2013) Study 1,"Woodzicka (2014,WL)",30,d,.77,.74,90,d,.24,.41,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #34,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,34,yes,yes,134
money priming (instruction background),Caruso et al. (2013) Study 1,"Schmidt & Nosek (2014,UVA)",30,d,.77,.74,81,d,.30,.44,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #35,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,35,yes,yes,135
money priming (instruction background),Caruso et al. (2013) Study 1,"Morris (2014,McDaniel)",30,d,.77,.74,98,d,.40,.40,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,ML1 #36,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2013,,,,,,,,,,,,,,36,yes,yes,136
money priming (instruction background),Caruso et al. (2013) Study 1,Rohrer et al. (2015) Study 1,30,d,.77,.74,136,d,-.07,.34,no signal - inconsistent,exposure to money vs. control (instruction background),system justification scale,very close,individual effort,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,https://pdfs.semanticscholar.org/f0a7/3c08049f86b20d83b52635ee651d2fffe859.pdf,,http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf,,,,,,social,2013,,,,,,,,,,,,,,,yes,yes,137
money priming (scrambled sentence),Caruso et al. (2013) Study 2,Rohrer et al. (2015) Study 2,168,d,.43,.30,420,d,.06,.19,no signal - inconsistent,exposure to money vs. control (scrambled sentence),belief in a just world scale,very close,individual effort,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,https://pdfs.semanticscholar.org/f0a7/3c08049f86b20d83b52635ee651d2fffe859.pdf,,http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf,,,,,,social,2013,,,,,,,,,,,,,,,yes,yes,138
money priming (scrambled sentence),Caruso et al. (2013) Study 2,Schuler & Wänke (in press) Study 2,168,d,.43,.30,115,d,-.09,.39,no signal - inconsistent (imprecise),exposure to money vs. control (scrambled sentence),belief in a just world scale,very close,individual effort,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,https://github.com/eplebel/science-commons/blob/master/curated/money-priming/Schuler%20%26%20Wanke%20(in%20press%2C%20SPPS)%20replication%20%26%20extension.pdf,,,,,,,,social,2013,,,,,,,,,,,,,,,yes,yes,139
money priming (scrambled sentence),Caruso et al. (2013) Study 3,Rohrer et al. (2015) Study 3,80,d,.49,.44,156,d,-.06,.31,no signal - inconsistent,exposure to money vs. control (scrambled sentence),social dominance orientation scale,very close,individual effort,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,https://pdfs.semanticscholar.org/f0a7/3c08049f86b20d83b52635ee651d2fffe859.pdf,,http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf,,,,,,social,2013,,,,,,,,,,,,,,,yes,yes,140
money priming (instruction background),Caruso et al. (2013) Study 4,Rohrer et al. (2015) Study 4,48,d,.69,.58,116,d,.13,.37,no signal - inconsistent,exposure to money vs. control (instruction background),Fair Market Ideology scale,very close,individual effort,,,,,collections/money-priming.html,https://carlsonschool.umn.edu/sites/carlsonschool.umn.edu/files/faculty/publications/Caruso%20Vohs%20et%20al%202013%20JEPG.pdf,10.1037/a0029288,https://pdfs.semanticscholar.org/f0a7/3c08049f86b20d83b52635ee651d2fffe859.pdf,,http://laplab.ucsd.edu/articles/Pashler%20Rohrer%20Harris_JESP2013.pdf,,,,,,social,2013,,,,,,,,,,,,,,,yes,yes,141
money priming (scrambled sentence),Vohs et al. (2006) Study 3,Grenier et al. (2012),39,d,.65,.65,40,d,.07,.62,no signal - consistent,exposure to money vs. control (scrambled sentence),helping others (coding sheets for RA),close,individual effort,,,,,collections/money-priming.html,https://github.com/eplebel/science-commons/blob/master/curated/money-priming/vohs%20et%20al%20(2006%2C%20science)The%20Psychological%20Consequences%20of%20Money.pdf,10.1126/science.1132491,https://web.archive.org/web/20170107095344/http://www.psychfiledrawer.org/files/8661358527290Vohs%20-%20Final%20report_Grenier%2012.pdf,,https://web.archive.org/web/20170107095344/http://www.psychfiledrawer.org/files/8661358527290Vohs%20-%20Final%20report_Grenier%2012.pdf,,,,,,social,2006,,,,,,,,,,,,,,,yes,yes,142
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Bernstein (2014,abington)",66,d,.50,.50,83,d,.07,.44,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #37,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,1,yes,yes,143
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Pilati (2014,brasilia)",66,d,.50,.50,120,d,.00,.36,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #38,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,2,yes,yes,144
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Vranka (2014,Charles)",66,d,.50,.50,84,d,-.03,.43,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #39,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,3,yes,yes,145
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Nier (2014,Conncoll)",66,d,.50,.50,94,d,-.45,.42,"signal - inconsistent, opposite",exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #40,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,4,yes,yes,146
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Rutchick (2014,CSUN)",66,d,.50,.50,94,d,-.07,.41,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #41,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,5,yes,yes,147
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Cheong (2014,Help)",66,d,.50,.50,102,d,-.11,.40,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #42,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,6,yes,yes,148
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Vaughn (2014,Ithaca)",66,d,.50,.50,89,d,-.17,.42,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #43,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,7,yes,yes,149
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Kurtz (2014,JMU)",66,d,.50,.50,172,d,.04,.30,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #44,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,8,yes,yes,150
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Cemalcilar (2014,KU)",66,d,.50,.50,110,d,.14,.38,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #45,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,9,yes,yes,151
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Packard (2014,Laurier)",66,d,.50,.50,111,d,.04,.38,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #46,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,10,yes,yes,152
